,country,trust_clean,trust_family,trust_neighborhood,trust_know_personally,trust_first_time,trust_another_religion,trust_another_nationality,confidence_churches,confidence_armed_forces,confidence_press,confidence_labour_unions,confidence_police,confidence_parliament,confidence_civil_services,confidence_big_regional_org,confidence_european_union,confidence_government,confidence_political_parties,confidence_major_companies,confidence_green_movement,confidence_justice_system,confidence_UN,trust_family_BIN,trust_neighborhood_BIN,trust_know_personally_BIN,trust_first_time_BIN,trust_another_religion_BIN,trust_another_nationality_BIN,confidence_churches_BIN,confidence_armed_forces_BIN,confidence_press_BIN,confidence_labour_unions_BIN,confidence_police_BIN,confidence_parliament_BIN,confidence_civil_services_BIN,confidence_big_regional_org_BIN,confidence_european_union_BIN,confidence_government_BIN,confidence_political_parties_BIN,confidence_major_companies_BIN,confidence_green_movement_BIN,confidence_justice_system_BIN,confidence_UN_BIN
21,DK,0.7742225,3.9233751,3.4220486,3.7894266,2.9136102,3.0320904,3.1091464,2.6998158,2.8851616,2.1930828,2.6363914,3.2263362,2.490685,2.585564,2.4082317,2.4082317,2.3094807,2.201765,2.4556923,2.646628,3.1006024,2.7838087,0.9958259,0.9495344,0.9931302,0.8250985,0.8484108,0.8902439,0.6519337,0.7494711,0.2944361,0.6165803,0.894894,0.5027043,0.5786466,0.46615854,0.46615854,0.40791062,0.28880098,0.4796923,0.61641747,0.8391566,0.70837164
22,EC,0.05862362,3.4323874,2.245409,2.3430717,1.4720134,1.8565401,1.7356418,3.1310518,2.6767933,2.1986532,2.0417733,2.557131,1.8319328,1.6564885,2.2308428,,2.088533,1.691016,2.4519393,2.732773,2.2853515,2.3330405,0.84223706,0.3806344,0.4190317,0.07769424,0.21181434,0.1731419,0.7512521,0.5915612,0.3644781,0.30093777,0.52877396,0.2184874,0.14843087,0.4118774,,0.32209107,0.17128463,0.49578413,0.6319328,0.4098222,0.44288224
23,EE,0.3390491,3.876659,2.971698,3.2881486,2.2091196,2.5798016,2.7037976,2.3586006,2.8441,2.1836896,2.451724,3.014996,2.2075782,2.717863,2.5149124,2.5149124,2.3920267,1.8699324,2.4171429,2.7049327,2.672743,2.4543378,0.989071,0.8191824,0.9419055,0.3553459,0.606853,0.69535863,0.46355686,0.7278209,0.30482978,0.49655172,0.8216259,0.3360791,0.67863107,0.54122806,0.54122806,0.45182723,0.14273648,0.46571428,0.66098654,0.6232639,0.51598173
24,EG,0.07351713,3.9266667,3.1901584,3.3402836,1.9035234,2.4644067,1.8507067,2.973572,,1.5947467,1.6058496,,1.5404859,1.9053926,1.7182236,,,1.2987458,2.0744126,1.6769457,,1.2844975,0.9941667,0.85738117,0.88573813,0.19463088,0.5186441,0.18904594,0.7280477,,0.09474672,0.1448468,,0.09311741,0.21192053,0.16845329,,,0.031927023,0.33159268,0.1483113,,0.037478704
25,ES,0.41038525,3.8387096,2.967554,3.361226,2.3683333,2.6746454,2.729094,2.1352253,2.5713086,2.1928513,2.0392158,2.782753,2.1619778,2.4614732,2.5518134,2.5518134,1.8806722,1.8369747,2.2694612,2.6842105,2.4561403,2.423519,0.98263025,0.7861897,0.9212925,0.44333333,0.64450353,0.6681185,0.34140235,0.5662752,0.33167082,0.2736573,0.6666667,0.3316283,0.4843353,0.5431779,0.5431779,0.22857143,0.18739496,0.39435413,0.62467647,0.47535506,0.4571176
26,ET,0.11908646,3.8723576,3.0968268,2.7110205,2.334421,2.4198036,1.9441625,3.6175752,3.0633862,2.2878933,2.4942195,2.6019738,2.4876192,2.589618,2.6345062,,2.8065844,2.01085,2.699282,2.8517873,2.736711,2.6819196,0.9902439,0.86737186,0.6857143,0.47960848,0.55728316,0.2994924,0.92270136,0.7689741,0.40610105,0.5317919,0.58799344,0.54190475,0.5954946,0.61975026,,0.66255146,0.31374323,0.62657094,0.7149085,0.6420266,0.64508927
27,FI,0.722175,3.8802345,3.3729959,3.510101,2.6385336,2.9329853,2.946585,2.5606446,3.2630692,2.453006,2.4840655,3.4107292,2.4429417,2.5792162,2.3645744,2.3645744,2.3712828,2.04811,2.3630078,2.5224137,3.00254,2.5705628,0.9891122,0.92827004,0.97979796,0.6513214,0.7980853,0.82224166,0.5589483,0.89966273,0.47840813,0.5167959,0.95054483,0.47844464,0.5775128,0.43422183,0.43422183,0.45284623,0.19072165,0.42178047,0.5465517,0.8230313,0.56017315
28,FR,0.28091106,3.640667,2.9132369,3.3028016,2.1843698,2.7345972,2.7768116,2.2269664,3.0081656,2.0738328,2.1321487,2.9621007,2.170308,2.4868853,2.393803,2.393803,2.0302863,1.6953168,2.3227425,2.6492412,2.582876,2.5570352,0.9440559,0.79310346,0.9310345,0.36929002,0.7180095,0.7437681,0.41910112,0.8007621,0.30184582,0.36146584,0.80346507,0.36638656,0.552459,0.5025352,0.5025352,0.3243392,0.1184573,0.43645486,0.6408094,0.59055984,0.59293574
29,GB,0.44533947,3.8020525,3.0402298,3.4984033,2.4710345,2.9595888,2.9741828,2.2962267,3.176539,1.8568474,2.270516,2.8627002,2.0842032,2.5103118,2.2566562,2.2566562,2.0338163,1.9118125,2.2855446,2.765207,2.7665021,2.5707629,0.9808438,0.85011494,0.97194344,0.5570115,0.8424199,0.8597821,0.38223577,0.8436701,0.13832721,0.37272727,0.715103,0.269775,0.5208633,0.38546413,0.38546413,0.25557855,0.14829427,0.3622122,0.68828404,0.6619685,0.5619328
30,GE,0.10768523,3.8293016,2.9420156,2.8941822,1.9486349,2.2966304,2.4165485,3.2078886,3.0937645,2.1338062,2.0230012,2.600463,2.0562649,2.5769045,2.500502,2.500502,2.187907,1.8669238,2.161709,2.4240787,2.2594936,2.4615386,0.9853948,0.8067188,0.7869904,0.15178159,0.42097768,0.50496453,0.7800464,0.78244805,0.29267138,0.26998904,0.57592595,0.3002364,0.56492573,0.5391566,0.5391566,0.37581396,0.20684667,0.3272039,0.4987715,0.39386562,0.5209086
31,GR,0.08417509,3.9074228,2.7012553,3.062814,1.7142857,1.930192,1.9193825,2.8224456,3.074387,1.8128161,1.8455358,2.8366835,1.7044877,2.352349,1.9831508,1.9831508,1.6536833,1.5647756,2.1917455,2.3818343,2.5981388,2.0889277,0.9958299,0.6175732,0.8232831,0.10168067,0.21204188,0.2058319,0.6482412,0.8123415,0.12647554,0.19285715,0.7035176,0.14733277,0.43372482,0.26368997,0.26368997,0.13378493,0.07366639,0.3250215,0.46560848,0.58714044,0.3034002
32,GT,0.179821,3.7066557,2.4450915,2.7857733,1.8329197,2.3322203,2.1254153,3.0829942,2.0406835,2.0162735,1.8242474,1.8771359,1.628153,1.6419853,1.6908056,,1.6802279,1.5915378,2.0040684,2.268511,1.8299431,2.0642798,0.957272,0.48502496,0.6600496,0.18693134,0.4390651,0.33222592,0.7054516,0.22701383,0.20179008,0.14320585,0.14483319,0.08706265,0.08706265,0.12123678,,0.091131,0.06753458,0.23759153,0.37347436,0.13995118,0.27176565
33,HK,0.39496613,3.6916022,2.7058253,2.9893873,2.1216674,2.4689655,2.4518192,2.5396357,2.5438423,2.5225837,2.3551588,2.704116,2.2000976,2.543996,2.118624,,2.4997582,2.0476658,2.4985251,2.644628,3.0234146,2.5662467,0.969112,0.6907767,0.8876025,0.23267087,0.50689656,0.48672566,0.55194485,0.5320197,0.51918405,0.40327382,0.65084743,0.30990726,0.550316,0.26809016,,0.5229579,0.21425061,0.5152409,0.6178901,0.7995122,0.55516374
34,HR,0.17598344,3.7616792,2.796472,3.1114864,2.1258693,2.695557,2.7438316,2.1906722,2.5840893,1.7049519,1.7975035,2.356753,1.4753762,2.0123627,2.0299652,2.0299652,1.6065233,1.402069,1.9597173,2.2286115,1.6984236,2.035261,0.97224104,0.7204885,0.86554056,0.31154382,0.6707939,0.70029026,0.35185185,0.5910677,0.09353507,0.13176145,0.44474763,0.06566347,0.2396978,0.25574914,0.25574914,0.08743928,0.03448276,0.19222614,0.3569425,0.13091159,0.264457
35,HU,0.28456914,3.9145696,3.1382978,3.1598144,2.295257,2.6774194,2.5853658,2.335826,2.5872252,1.8785425,1.951719,2.7941177,2.1918645,2.5656016,2.393204,2.393204,2.203018,1.7855172,2.2739725,2.5510924,2.4470828,2.363312,0.992053,0.8424202,0.9018568,0.41750166,0.6493689,0.5986063,0.4221618,0.56524724,0.19163293,0.23335771,0.67713904,0.36474577,0.5676411,0.44590846,0.44590846,0.3909465,0.15517241,0.39726028,0.5574348,0.49864316,0.43254817
