,country,trust_clean,trust_family,trust_neighborhood,trust_know_personally,trust_first_time,trust_another_religion,trust_another_nationality,confidence_churches,confidence_armed_forces,confidence_press,confidence_labour_unions,confidence_police,confidence_parliament,confidence_civil_services,confidence_big_regional_org,confidence_european_union,confidence_government,confidence_political_parties,confidence_major_companies,confidence_green_movement,confidence_justice_system,confidence_UN,trust_family_BIN,trust_neighborhood_BIN,trust_know_personally_BIN,trust_first_time_BIN,trust_another_religion_BIN,trust_another_nationality_BIN,confidence_churches_BIN,confidence_armed_forces_BIN,confidence_press_BIN,confidence_labour_unions_BIN,confidence_police_BIN,confidence_parliament_BIN,confidence_civil_services_BIN,confidence_big_regional_org_BIN,confidence_european_union_BIN,confidence_government_BIN,confidence_political_parties_BIN,confidence_major_companies_BIN,confidence_green_movement_BIN,confidence_justice_system_BIN,confidence_UN_BIN
60,MY,0.19573496,3.7242956,2.8118813,3.0129476,1.8804265,2.4836252,2.178218,3.202744,2.9382622,2.344775,2.640244,2.6867378,2.3600304,2.6735318,2.6646295,,2.4824696,2.1731503,2.6822002,2.9396946,2.7667682,2.6019862,0.98476774,0.7425743,0.84996194,0.14927647,0.50266564,0.3130236,0.84984756,0.74542683,0.38443935,0.589939,0.5952744,0.4225782,0.60030514,0.59969443,,0.5015244,0.3150267,0.62261266,0.7748092,0.6272866,0.5561497
61,NG,0.12682927,3.4700162,2.7036438,2.6601942,1.9611336,2.291633,2.0666125,3.560324,2.6311076,2.6055646,2.4950082,1.9425101,2.1729507,2.4621027,2.6160963,,2.3081913,2.1056051,2.611386,2.647399,2.376634,2.687156,0.8857374,0.61700404,0.5946602,0.25991902,0.42648253,0.3216897,0.8842105,0.5504886,0.5458265,0.47920132,0.27044535,0.34016395,0.46862265,0.54856616,,0.40470397,0.32981315,0.55775577,0.56647396,0.43545753,0.5816514
62,NI,0.0425,3.4433334,2.2333333,2.54,1.5508333,2.0866666,1.6641667,3.0075,1.9375,1.9208333,1.7325,2.045,1.8141667,1.7916666,,,2.0641668,1.7075,2.015,2.6608334,1.9775,2.0858333,0.87583333,0.39833334,0.5341667,0.108333334,0.35666665,0.18166667,0.67333335,0.22083333,0.18416667,0.111666664,0.2575,0.17416666,0.15583333,,,0.275,0.119166665,0.21166667,0.5575,0.22416666,0.28166667
63,NIR,0.40732265,3.7770271,3.1412556,3.4741573,2.4081633,3.0114417,2.928899,2.4794521,2.8051045,1.8538812,2.3876543,2.7312074,1.7927107,2.5325582,2.3696682,2.3696682,1.8363637,1.7431818,2.2235577,2.74092,2.7249417,2.571782,0.9774775,0.9013453,0.98202246,0.5147392,0.8604119,0.8211009,0.49086758,0.68213457,0.1324201,0.45679012,0.66287017,0.13439636,0.53488374,0.45734596,0.45734596,0.175,0.1,0.33173078,0.6779661,0.6340326,0.5792079
64,NL,0.6172782,3.814505,3.353653,3.620486,2.7449317,3.0,2.9840717,1.9740039,2.6052697,2.2514458,2.3929904,2.7902484,2.2842555,2.312351,2.24618,2.24618,2.3009753,2.0347886,2.2561421,2.488101,2.6910112,2.44623,0.9762766,0.9120521,0.9797865,0.72960865,0.826284,0.8305127,0.23493683,0.60108346,0.36525562,0.455133,0.7288408,0.38518167,0.3795899,0.38127577,0.38127577,0.40966094,0.2087322,0.3403065,0.52428365,0.6381086,0.5023486
65,NO,0.7511271,3.9090097,3.2930567,3.6291332,2.6974866,2.976428,3.027174,2.4991007,2.9569507,2.366637,2.8084326,3.1659234,2.8258123,2.7813067,2.398705,2.398705,2.634892,2.3330326,2.5327792,2.6146872,3.140414,2.9540863,0.9910794,0.9215509,0.9821269,0.7010772,0.84768814,0.8677536,0.51258993,0.8017937,0.40945584,0.73327225,0.88403213,0.72924185,0.7268602,0.4625347,0.4625347,0.6178058,0.37184116,0.53647274,0.593835,0.87758774,0.7988981
66,NZ,0.5950249,3.786615,3.0574596,3.489756,2.481915,2.8327272,2.8536866,2.2699897,3.1090908,2.1530814,2.187643,3.2160313,2.4117646,2.5530787,,,2.5514781,2.0978372,2.367457,2.6579223,2.888335,2.526257,0.9844811,0.89616936,0.9765854,0.56276596,0.80242425,0.80875576,0.38213915,0.8575758,0.27932405,0.32951945,0.87781036,0.42518058,0.54352444,,,0.53924567,0.21627188,0.42564654,0.6348373,0.71485543,0.5441341
67,PE,0.053046595,3.6082916,2.1037197,2.1954188,1.4813486,1.888484,1.5983965,2.7784946,2.2364817,1.9732078,1.7420574,1.9498208,1.2971015,1.4720407,2.1426203,,1.5524982,1.3470418,1.9873418,2.350718,1.5326087,2.176814,0.89492494,0.3040057,0.32856122,0.07962697,0.2164723,0.13046648,0.6107527,0.36193222,0.2353367,0.14599092,0.25878137,0.05,0.0885984,0.32504147,,0.110789284,0.060606062,0.25763217,0.43613002,0.11231884,0.3411176
68,PH,0.053467,3.8108332,2.87,2.9499583,2.0208333,2.3083334,2.0683334,3.6238532,3.0391667,2.855,2.7231026,3.1183333,2.8116667,2.9491243,2.909925,,3.1166666,2.6708333,2.764804,3.0717263,3.0566666,2.9266055,0.9825,0.7325,0.7623019,0.2425,0.39833334,0.28083333,0.9165972,0.7575,0.68833333,0.6213511,0.7875,0.6766667,0.7439533,0.7414512,,0.8025,0.6075,0.6672227,0.78899086,0.7683333,0.74228525
69,PK,0.23496716,3.7007043,3.0231504,3.1426404,2.0350077,1.9255813,1.8516747,3.8460765,3.7175996,2.557672,2.7741215,2.2182376,2.4878185,2.5804076,2.3767705,,2.7092488,2.2354167,2.6164613,2.6222606,2.726852,2.4028778,0.93762577,0.77503777,0.79817903,0.3465246,0.32351422,0.29399255,0.9758551,0.9379728,0.5619048,0.6609035,0.43391395,0.55315614,0.5872027,0.49220964,,0.63566685,0.45260417,0.5918253,0.6020761,0.6404321,0.51667756
70,PL,0.25494674,3.6354864,2.8095963,2.9505327,2.1013932,2.3901384,2.441457,2.6580937,2.8202944,2.1196582,2.0810812,2.6185014,1.9033018,2.312256,2.4252965,2.4252965,1.9773083,1.6530775,2.1611755,2.3935378,2.2052927,2.565365,0.9784707,0.7669459,0.8721461,0.27941176,0.49394464,0.53078926,0.5711044,0.71417505,0.26573426,0.2859634,0.6070336,0.21147798,0.39578456,0.4869565,0.4869565,0.26212832,0.09032774,0.3268032,0.47721624,0.36327186,0.5662139
71,PR,0.17831542,3.5533807,2.8674378,3.0658362,1.898305,2.6317205,2.5771992,2.9839716,2.6812892,2.13125,1.8736463,2.4905999,1.6558139,1.7609489,2.1630323,,1.6936208,1.5004508,2.273056,2.9209344,2.2126126,2.506925,0.8985765,0.6841637,0.77046263,0.2560214,0.6191756,0.59605026,0.6847729,0.5702775,0.3125,0.21841155,0.48970458,0.14232558,0.19251825,0.37279335,,0.1509434,0.097385034,0.39511755,0.6792453,0.36306307,0.4875346
72,PT,0.16818558,3.6567657,2.9176373,2.8936522,2.2068107,2.6223958,2.5896552,2.745636,3.0120795,2.4694397,2.29,3.0849292,2.1885812,2.4699738,2.6536677,2.6536677,2.1509275,1.8780488,2.446714,2.601626,2.4354148,2.6995215,0.9661716,0.76622295,0.78070897,0.36378738,0.6154514,0.59827584,0.6458853,0.8170837,0.5152801,0.43272728,0.8534554,0.36764705,0.5343777,0.6694522,0.6694522,0.37605396,0.22203532,0.5230906,0.61969286,0.51924723,0.6880383
73,RO,0.12628591,3.756464,2.4352112,2.7251668,1.7622126,2.1173077,2.0519679,3.0246131,3.0401146,2.1685796,1.9496124,2.509629,1.7283951,2.05131,2.4251611,2.4251611,1.8089149,1.6113951,2.1153698,2.2724433,2.334452,2.4151468,0.9709993,0.4492958,0.64899963,0.123563215,0.30576923,0.2686282,0.7014768,0.7689828,0.30631277,0.21860465,0.5178317,0.16194627,0.29767102,0.486169,0.486169,0.19948849,0.105551496,0.30855593,0.39812645,0.4321402,0.48295003
74,RS,0.1744233,3.8449981,2.7689545,3.014636,1.9971932,2.353518,2.357755,2.6143317,2.6791074,1.7739588,1.8215963,2.3176851,1.8292989,2.0058382,1.8767635,1.8767635,1.9569714,1.650437,2.0876245,2.1542351,2.047364,1.7935103,0.988533,0.68595374,0.7990506,0.25581396,0.44605544,0.45029992,0.55595815,0.60283977,0.1415285,0.16645327,0.42857143,0.18113522,0.2564637,0.21410789,0.21410789,0.26272237,0.122347064,0.28363788,0.3202697,0.27429983,0.1854193
75,RU,0.23684211,3.8474107,2.8699164,2.9947252,1.9516311,2.249315,2.27062,2.763791,3.1228466,2.1814835,2.2276342,2.498438,2.300491,2.599416,2.0438206,1.8474004,2.5156116,2.1216176,2.2881088,2.4670415,2.4146554,1.955399,0.9814456,0.72618383,0.8006663,0.23622048,0.40730593,0.41872367,0.6411385,0.79949164,0.33550397,0.39728296,0.53535926,0.43032536,0.6020438,0.30948305,0.22147198,0.54654825,0.33452275,0.42631245,0.52421117,0.49432975,0.27565393
76,SE,0.6737649,3.8975651,3.3471987,3.5459142,2.8621275,3.1484716,3.2234685,2.445969,2.5967467,2.3457627,2.544905,3.0708861,2.712575,2.6510239,2.454625,2.454625,2.4961307,2.26707,2.5470536,2.775862,2.9321887,2.7692308,0.98992443,0.9235993,0.989048,0.7889362,0.89432317,0.93615186,0.49914238,0.56592464,0.42457628,0.5613126,0.849789,0.66210437,0.6322526,0.5034904,0.5034904,0.53912294,0.33621433,0.5576077,0.70086205,0.783691,0.6957649
77,SG,0.33983985,3.753984,2.840977,3.1101146,1.986527,2.477482,2.3669724,2.671275,3.035443,2.5784662,2.5311654,3.1024096,2.8389611,2.933775,2.5679164,,3.00905,2.5739677,2.6101253,2.806857,3.029156,2.5341191,0.9800797,0.7751745,0.90184355,0.17814371,0.5035824,0.4271152,0.59651816,0.83594936,0.5647537,0.5382114,0.8694779,0.732987,0.79826796,0.56177014,,0.8185018,0.5488761,0.6022965,0.72171426,0.82250637,0.53598017
78,SI,0.27169812,3.844925,2.8499062,3.1487372,1.8994361,2.316929,2.3666344,1.939793,2.4664145,2.2035646,1.9716797,2.727017,1.9319727,2.0698352,2.1575408,2.1575408,1.8959924,1.620591,2.2781587,2.5130942,2.043935,2.057505,0.9830827,0.7035647,0.85968196,0.14849624,0.39862204,0.42192048,0.2257761,0.46357617,0.31707317,0.20507812,0.63227016,0.17103985,0.24733269,0.30451488,0.30451488,0.15553436,0.05624404,0.35357493,0.5101843,0.23686723,0.25925925
79,SK,0.2133538,3.7271,3.017497,3.0392082,2.166026,2.4245014,2.2799034,2.5542545,2.744113,2.2525291,2.4176054,2.5170825,2.0867367,2.4777045,2.439747,2.439747,2.0050213,1.8583724,2.3915858,2.5384932,2.2092571,2.4473684,0.9821361,0.84518826,0.8717168,0.32013837,0.52503055,0.41884816,0.5538642,0.6868132,0.38365757,0.4993742,0.5523992,0.3177752,0.5327646,0.5199526,0.5199526,0.27809966,0.18896714,0.4789644,0.584191,0.37767404,0.5222039
80,TH,0.31368423,3.8197596,3.08166,2.9979892,2.0828283,2.254043,2.1390014,2.97016,2.674335,2.5949092,2.6045566,2.5564342,2.5723932,2.7024853,2.7662835,,2.5975254,2.3456974,2.6156862,2.8225377,2.9157588,2.718504,0.9766355,0.854083,0.80898124,0.27676767,0.35983828,0.29622132,0.74017465,0.6211359,0.54545456,0.5687551,0.54061824,0.56264067,0.61695904,0.6273946,,0.56404656,0.40356082,0.5717647,0.68944097,0.69716775,0.613189
81,TJ,0.20583333,3.9416666,3.0033333,2.7425,1.5841666,1.5758333,1.7091666,3.2012196,3.347751,2.7908847,2.7161016,3.201898,3.2772365,3.1246612,2.776271,2.4816177,3.4308736,2.8715596,2.7449856,2.7700381,3.170157,2.8434505,0.99083334,0.75166667,0.6016667,0.10333333,0.1425,0.19833334,0.7987805,0.88754326,0.6121537,0.5741525,0.83434,0.85562444,0.7732611,0.63276833,0.4852941,0.90839696,0.63669723,0.56924546,0.6097328,0.8071553,0.6666667
82,TN,0.14249147,3.6011658,2.8006644,2.7908714,2.0373755,2.0645432,2.057596,2.5407221,3.0521448,2.0033898,1.9131205,2.4642556,1.4873097,1.9718909,1.7475538,,1.5954392,1.4362869,1.9619132,2.3050847,2.4511986,1.5667976,0.9150708,0.7018272,0.6863071,0.30730897,0.32606873,0.31886476,0.49034426,0.73254836,0.23559321,0.22340426,0.46930194,0.08798646,0.23594548,0.13894325,,0.120777026,0.070886075,0.21346325,0.36889333,0.46832192,0.08939096
83,TR,0.14261603,3.7932036,2.9858804,2.7754254,1.9987541,2.1556134,2.1301162,2.8713746,3.295816,2.3326342,2.383223,3.1848145,2.632879,2.679165,2.1186514,2.1186514,2.8636363,2.49618,2.4496527,2.5107222,2.9275544,2.1310315,0.9697472,0.820598,0.7106683,0.25207642,0.34286952,0.32313657,0.7150063,0.86025107,0.44001678,0.47240618,0.8427201,0.6081772,0.629314,0.33231172,0.33231172,0.6990741,0.5152801,0.50737846,0.56017506,0.74539363,0.3355467
84,TW,0.3098937,3.7857728,2.901063,3.154538,2.207686,2.5347507,2.3777597,2.58615,2.7316053,2.0918963,2.5399141,2.990156,2.092965,2.6608624,,2.5483253,2.4533334,1.9933223,2.63644,2.7854185,2.5376885,2.4955437,0.9828291,0.7906787,0.9354047,0.28209323,0.5494685,0.44889617,0.569662,0.6479933,0.26566416,0.5570815,0.82444626,0.2964824,0.6525705,,0.54545456,0.5183333,0.23038398,0.62468517,0.71499586,0.56532663,0.50980395
85,UA,0.28673837,3.8197634,2.9003832,2.8848846,2.0359712,2.3434749,2.3599043,2.8367202,2.9044564,2.1222062,2.0884383,2.217032,1.8172389,2.2360704,2.4285715,2.4285715,1.8340596,1.7532609,2.1747212,2.2853174,1.852003,2.4799504,0.9819068,0.77568793,0.78691393,0.25467625,0.44235387,0.4631327,0.69197863,0.7418895,0.33129054,0.3308887,0.39130434,0.20243205,0.39149562,0.5255102,0.5255102,0.19607843,0.16811594,0.36761668,0.43333334,0.21735905,0.55890864
86,US,0.39737147,3.5367079,2.761997,3.1962762,2.2298763,2.7744448,2.7834568,2.5188642,3.0676517,2.1205895,2.232066,2.8122575,1.9050214,2.3577585,2.2779312,,2.0763862,1.8553092,2.1958723,2.5649123,2.6127775,2.3763692,0.94783616,0.71710527,0.9134988,0.3885449,0.74483836,0.7479516,0.5145858,0.8013219,0.30283055,0.34104273,0.68968195,0.14168938,0.42123824,0.36794314,,0.31019774,0.10268378,0.3080218,0.55048734,0.57615894,0.44757435
87,UY,0.14859438,3.5850956,2.6727457,3.0060914,1.828045,2.305814,2.3656037,2.179878,2.4892087,2.0523615,2.0528498,2.8264794,2.3160126,2.5092592,2.2471783,,2.5025432,2.0391753,2.3966246,2.9322917,2.6953368,2.3710046,0.9023162,0.61296856,0.7390863,0.24564995,0.47093022,0.50797266,0.36585367,0.5056526,0.31827515,0.34507772,0.6549649,0.4506893,0.5329218,0.42099324,,0.52797556,0.32061857,0.47995782,0.6958333,0.59274614,0.47146118
88,UZ,0.34710744,3.8097913,2.8004827,2.572925,1.8139724,1.9830508,2.0972104,3.3165584,3.6078906,2.8790324,2.7349298,3.2615013,3.0430107,3.0965126,2.967798,2.749775,3.285134,2.8517299,2.779253,2.6985726,3.149266,2.9648814,0.97512037,0.7216412,0.5753425,0.21445979,0.29915255,0.3584108,0.8766234,0.9178744,0.68225807,0.63336086,0.82728004,0.7510339,0.7996756,0.71627504,0.63366336,0.8415922,0.67298186,0.65975106,0.6171285,0.8050571,0.72080773
89,VE,0.14201681,3.642017,2.6218488,2.57479,1.7478992,2.1571429,1.9983193,2.9462185,1.884874,2.0428572,1.6226891,1.7184874,1.6605042,1.7529411,1.87479,,1.6907563,1.6277311,2.2663865,2.3336134,1.7521008,1.9294118,0.92689073,0.5596639,0.53781515,0.15042017,0.36806723,0.2789916,0.6647059,0.20840336,0.2487395,0.10420168,0.14453782,0.14957984,0.1605042,0.22857143,,0.17310925,0.11596639,0.4042017,0.4579832,0.1605042,0.26638657
90,VN,0.27666667,3.9325,3.005,2.8666666,2.1275,2.2683334,2.1533334,3.1423757,3.2240205,2.8712955,3.0650477,3.1597981,3.2693632,2.9801896,3.1218836,,3.2971137,3.2020288,2.9486063,3.0619621,3.200851,3.1688433,0.99583334,0.9141667,0.8283333,0.30833334,0.40333334,0.3425,0.9031171,0.9318569,0.80609655,0.89158714,0.9116905,0.94406193,0.8647717,0.89750695,,0.94651955,0.9408284,0.8466899,0.89672977,0.92680854,0.9020522
91,ZW,0.021416804,3.7240527,2.758877,2.7370157,1.874484,2.4987574,2.1729012,3.0288303,2.5399334,2.118687,2.4723873,2.5090759,2.301495,2.5041528,2.6978354,,2.4693708,2.014226,2.6627614,2.7455318,2.5074751,2.8062284,0.95304775,0.6895128,0.6545754,0.2601156,0.54183924,0.3990025,0.6836903,0.51663893,0.31734008,0.49277824,0.5049505,0.4435216,0.52408636,0.61904764,,0.51986754,0.2912134,0.6008368,0.64340425,0.52408636,0.6600346
